,User,Review Date,Ratings,Review
14,Ryan Nasir,2022,1,"I have been a loyal Playstation fan from day 1. I preordered this before release date. I am going through an issue that causes the PS5 to overheat and power itself off mid-game. I sent my PS5 back to Sony 2 times already, and just sent another repair request. They said they will send me a box to return for repair on 08/26/22 and today is 09/28/22, still have not received the box. They do not seem to care about the issue as this would be my 3rd time returning the system. I am extremely unhappy. I work 60 hours a week and with only 1 off day, I do not want to waste my time waiting on the phone for hours to complain. I have a life.  This overheating issue seems to happen when I play a specific game. Whenever I play No Man's Sky for 2+ hours it overheats and powers off. Then the power button does not work. To get the PS5 to work again I have to unplug the power cord and plug it back in. Only then it will power on again. But once this starts happening, it keeps decreasing the time I can keep the PS5 on before it powers off again.  I would try to buy another one, but the PS5 is still not openly available. This is not right!"
15,Shop till you drop,2022,3,"I purchased my PS5 console over a year ago not too long after they came out. First I will say that getting one was not easy at that time, but I was very happy with it when I bought it. I upgraded from a PS4 Pro.  This console is much faster ableit larger and more obvious in the room.  I love playing games on this machine and am an avid gamer.  Since the console only comes with one controller I purchased a second. Well that arrived and didn't work right.  Kept racing up and down the tabs, you could not use it, so back it went. Then I ordered another which worked well at first. But it just recently died, same issue? So I ordered yet another at $74.00. + tax. Guess what same issue when I connected it? So I then returned it and finally got a replacement that works. To me this is just not acceptable quality control on Sony's part given the outlandish  price they are charging for the consoles aa well as the controllers. I think they put too much technical effort into the controllers without making them more sturdy. I don't abuse my equipment, but occasionally the controller will fall to the floor from the arm of my chair etc.  It can't handle being dropped at all.  And clearly given that I have received a number of them with problems, they cannot even handle ruff handling in retail warehouse. To me at nearly $100.00 the controller are the real failure of this system.  Also, I might add that the square button on the latest controller is a bit wonky.  Sometimes I have to press it so hard to get it to engage it makes my fingers hurt.  This makes gaming hard when you are in the middle of a battle etc. So I find myself sometimes going back to my PS4 Pro which is a workhorse and very reliable.  I have four controllers for that and all still work as new.  Sony for the price you are charging make a better product.  The controllers are junk and overpriced. Also they are heavy as hell.  Not what I have come to expect from Sony after years of buying nothing but Sony.  All my video electronics are Sony. I have owned four Sony TV's over the past 30 years.  Not a of them every died or had a problem. I only upgraded to larger sets or flat panels as technology changed.  So to me this console set as a whole falls short of the mark on what I have come to expect from Sony.  Please make or improve your controllers. And offer a better warranty as well. You are charging too much for this kind of issues right out of the box."
16,James Y.,2022,5,"Good system. HARD to Find Disc Bay Version, But Still worth Purchasing"
17,Fredd,2022,5,"The ps5 is great. Fast loading times, great graphics and the controller is awesome . Only downside is internal memory. Would recommend adding more"
18,K. Cross,2022,1,I at least was able to order my Xbox series X from Microsoft as long as I pay for 2 years of game pass
19,Chris Winkler,2022,5,Great console period! Amazing graphics and speed! Almost non-existent lag!! Wonderful system! AAA+++
20,So,2022,5,Thank you for always being there
21,Rich Barnett,2022,5,thats it
22,Kris,2022,3,"I've Had multiple issues with this One, after using for a Good year, Nowit suddenly turns off for no reason, I did Update, CHanged the Extension Wires.and even moved to a different socket . Still Having Issues"
23,Jay Smith,2022,1,"I've owned every single Playstation console and this is by far the biggest piece of junk I've ever owned.  Do not buy!  It took forever to get and when we did, I've had system crashes when I've tried to play games, random bugs with apps, the disk drive sometimes not playing games, controllers not charging and I'm still waiting on new games to come out.I tried to send it back for repair and Sony wants almost $300 to fix this hunk of junk.  More than half the price of the console to fix clearly issues that were overlooked so they could rush it out during the beginning of the pandemic."
24,Solid Snake,2022,5,I finally got it! Lol
25,l,2022,5,the children are like it
26,Amazon Customer,2022,5,Fun to play with
27,PH,2022,5,Was delivered on-time and contained everything as advertised. Package was slightly beat up but not enough to cause damage down into nested boxes; device operates normally so far with no observed issues. Contained a little informational paper on return policy and everything seems professional. Would re-order through this vendor and recommend to others if they can tolerate/afford the price bump/scalping above MSRP.
28,Floyd Crosby,2022,1,OMG. Horrible
29,coachdenz,2022,1,"It quit working! I still have my ps2 since 2000!! and my Ps3, and 4… but this one quits! 500 down the drain!!"
30,Keslen Vialva,2022,1,Right thumb stick is already drifting 🙄Didn’t think it’ll be a big deal but it’s really starting to mess with my gaming experience 😞
31,Alek,2022,5,"If you are debating whether to buy it, just buy it, it's worth it."
32,stephanie,2022,5,pretty good
33,curiousorb,2022,5,So much fun playing sack boy with my family. The graphics are amazing!! So happy to have it!
34,Joshua Epps,2022,5,The game system is by far the better one on the market and thank you Amazon for helping me to acquire one on day one!
35,AleLizama,2022,5,"Best PS console so far, really fast and enjoyable experience. Ratchet and Clank is the most beautiful game ever made yet."
36,Kevin Grajeda,2022,5,It's running my life.
37,James D.,2022,5,"So I didn't buy this PS5 for myself. One of my friends wanted one, so I figured I'd help him out. We tried for months before we able to get it. He still hasn't let me play it.Anyhow, I was at a memorial service for my sister, listening to someone tell a very touching remembrance, when his mom walks up to me and whispers, ""You're killing people with cancer,"" which is not what I was hoping or expecting to hear at the time. She then elaborated, ""Raymond is supposed to be working hard doing cancer research right now,"" (true) ""but instead he's playing video games"" (somewhat true). Although I suppose I am somewhat culpable, I don't really see how that's my problem.I guess this a long way of saying that this console is so good it's minutely delaying musculoskeletal cancer research. I hear the haptics are pretty neat too. Maybe I'll get to play it someday."
38,Henry,2022,5,Will buy it again thanks!
39,wormy,2022,1,where to start lets start with the HDMI cord it came from nintendo !!! the charger cord for the controler came from samsung!!! and they glued a rubber pad on the top half of the controler !!
40,Ubiquitous,2022,1,"Completely overpriced, poorly made and very bad engineering all around. If that’s not reason enough to stay away it’ll already be obsolete before being able to get one for retail price. Save your money — Sony totally failed on this one."
41,Brian,2022,5,"Having now spent a good 300 hours in Elden Ring and having thoroughly tested the console, it is a vast improvement over the other generation consoles. Loading speeds, graphics, design, fluidity of the system interface and the numerous other upgrades coming... Sony is doing big things"
42,H & N,2022,4,"It was pretty good, controller had a little hiccups tho."
43,antoine rivers,2022,5,"The Ps5 is amazing, easily the best console out. Controllers are amazing as well. I see why they’re $69 a piece."
44,Rodney,2022,5,Worth it
45,Laiken,2022,5,"The graphics are dope, elden ring is awesome, everything about it is great! Had it for 8 months now and we enjoy it! No problems at all"
46,BxBoopie,2022,5,My granddaughter loved and tested up when it was delivered to her as a birthday surprise
47,Jason F.,2022,5,"This has been one of the best gifts ever. The graphics, the speed, the controller, the ability to be a full multimedia station is wonderful. Get one and have some fun!"
48,b,2022,5,its better than xbox.
49,FABIAN,2022,5,Best gaming system on the planet! Man I love this thing. Controllers are wayyyy better than ps4. Thank you amazon!!!
50,Gilberto Bolanos Heredia ,2022,5,Gracias Amazon por tenerlos porque en las tiendas están agotados mi nieto esta encantado con el equipo y dice que trabajar excelentemente
51,HODChief,2022,5,By far the superior console over All. Controller also poops on xboxs cheap bs (yes i own a xbx controller for my pc)
52,Amazon Customer,2022,5,Too expensive.
53,Justin Smith,2022,5,I’ve played video games on almost ALL consoles to exist.THIS console right here is THE BEST gaming experience I have EVER had hands down (even better than my gaming PC in my opinion)!!Currently I am gaming on my Xbox Series X and the PS5 is miles better than the Xbox.Buy this if you can get your hands on it!!
54,Amazon Customer,2022,5,"Firstly, Sony did not cause the microchip shortage, the auto industry did. Google it.Lastly, this is just another PlayStation, slightly better hardware than the PS4. Same goes for the latest Xbox. I wasn't going to buy one for several years regardless of the microchip shortage but then I saw there was a matrix unreal engine demo that I could not experience unless I bought one. Having a lot of disposable income, it was worth it to me to buy an Xbox series x In order to play a demo that's not even really a game for about 2 hours and not worth my time to return the Xbox or resell it after so I just kept it.If you have disposable income like that such consoles are worth buying because why not or if you will be really really excited even though the experience is very close to the same thing you're playing now on the same games you're playing now and that's worth purchasing the console, the controllers, even without price gouging tax and everything you're almost at $1,000 out the door... then buy one but be prepared that you might feel a bit let down because it's hardly different than the PS4 same goes for that Xbox."
55,Jonathan Cox,2022,5,I've always enjoyed PlayStation and Nintendo. But man it feels good to have a PS5. Can't wait to get back into Grand Theft Auto Online!
56,Jertez Andrews,2022,5,"Came early then expected Glad I got it, so difficult to just to get one Great System"
57,Tammie E Guilford,2022,5,"As an avid gamer this is AWESOME! The graphics, download time and easy setup is to be commended. PlayStation, you’ve done it again. BUT…..it was VERY pricy"
58,sam young,2022,5,"Great console was able to secure for retail. 4k, 120 fps what else can you ask for? great product."
59,Jose Lozano,2022,5,The shipping was so fast and it came in great condition. Brought it for a gift for my cousin. He enjoys it everyday and never stops playing lol. But definitely a great console!
60,Eliah Samuel,2022,5,Best console ever. Super fast and responsive. When playing it’s really quiet. Overall best one ever
61,Simi Castor,2022,5,So much better and quite compared to my PS4
62,Amazon Customer,2022,5,"The PS5 is something something special. First off, the haptic feedback and adaptive triggers on the new DualSense controllers give us consumers an enhanced experience of our gaming. Next, The load speeds are noticeably faster. I used to scroll through my social media feed while I waited on my game to load up on the PS4, but not anymore. The loading screens take less than 10 seconds to transition smoothly from one setting to another. Lastly, I didn't think graphics could get much better than they already were, but I was proved wrong by Sony. The PS5 features 4K graphics and is crystal clear. All of these new and improved elements definitely maximize the gaming experience of us consumers."
63,Nick,2022,5,better than my ps4
64,Tyler kiesshauer,2022,5,"Short and simple an amazing console, was able to get for msrp and next day delivery, couldn't be happier"
65,Mel & Lars,2022,5,Get it (if you can) & you won’t regret. Enough said.
66,Nick,2022,5,"very nice consoles, graphics are amazing"
67,Max Fleenor,2022,1,Disc drive broke in this console after 30 uses. Sent it in for repair and the repair turnaround time is over 2 months. Save yourself a headache and get the digital version.
68,Du$e Triumphant ,2022,5,Got it on release day. As expected and been happy with it every since
69,Barry,2022,5,Great console with great graphics.
70,Ruth Williams,2022,2,System won't load after 4 months purchased. Working with tech support. But this is unfortunate. Especially for the cost.
71,Chrishenda Dawkins,2022,5,Husband never gets off!!!! So it’s gotta be good right?
72,STEVEN,2022,5,"These are a great value, impressive tech, amazing load times, GREAT controller, easy (but not cheap) to expand memory.Yes, they're hard to find but if you want want, following a PS5 twitter thread should help you land one within a month or so.  Just act quick.Because PC hardware is so marked up, $500 for this seems like a steal for what you get.I recommend getting a controller charger that charges from the bottom prongs of the controllers vs USB c to prevent damage, upgrading storage (M.2 gen 4 5500mb/sec+) and an extra controller because there are several great 2+ player games out."
73,Justin,2022,5,"Couldn’t believe I actually got it, best thing I bought on here"
74,GS,2022,1,25 years of Sony Playstation's and I'm about to go to the dark side.  My kids can't believe I haven't just bought an x box.This is absolutely ridiculous.
75,Lukas,2022,5,Like it very much
76,E&K,2022,4,Love the console.  Fast and love the GUI. Just expected more.
77,Donna,2022,5,Absolutely love the PS5
78,Invisable Ewok,2022,2,"To be perfectly clear. I would normally give this 5 stars... but since you can't get one over a year after launch unless you pay a scalper or reseller twice what it's worth I can't recommend getting one until Sony puts out more units for sale, which is unlikely due to the global chip shortage. And no, you shouldn't have to sign up for special opportunities through major retailers to get a chance at buying one before everyone else. Not a year after launch when early adopters should already have one and the general public should have access to new units. After the supply shortage gets figured out and units are readily available without having to spend twice what they're worth, I'll change my rating.As far as games go, Sony has arguably the best first party lineup currently, with God of War, Horizon, Ghost of Tsushima, Gran Turismo, The Last of Us, Uncharted, Demon's Souls, etc. just to name a few. First party games look spectacular, and since it's backwards compatible with PS4, with a lot of major games getting next-gen upgrades you really can't be spoiled enough for choice of games. The console also has a fantastic 4K blu-ray player.The controller is very comfortable, though with some questionable features. I don't like the microphone being built into the controller. Sure it's a decent alternative if you don't want to wear a headset, but too many people in online games forget to mute it, thinking they've muted themselves on their headset and it can get annoying. I'm not a fan of the reactive triggers. Let's say you're playing a game where you use a bow and arrow; the reactive triggers will increase tension in the trigger as you pull the bowstring in-game, so it makes it more difficult to keep the bow drawn for extended periods of time. This can be great for immersion, but personally I just find it makes my fingers sore. Thankfully this can be turned off."
79,Jesse,2021,5,nothing bad
80,Joe Biden,2021,1,I hope every scalper ends up with 20 ps5s collecting dust in their basement
81,Tiffany H.,2021,1,I purchased this in October for Xmas fir my son. It keeps overheating. I bet the seller knew this when they fraudulently sold it to me! I want my money back!
82,Jobin,2021,5,"Great overall console, for streamign and gaming"
83,Noah Y,2021,5,Good and easy to use. needs better games
84,jon,2021,5,Fast and quick load time. love it
85,Art Tep,2021,5,Love it
86,Ryan Francis,2021,5,"can’t believe i was able to snag one of these, i’m in love!"
87,luis Miguel huesca,2021,5,"This console is the real life turboman, make sure you get turboman and not booster."
88,Joseph Pavlik,2021,5,"Fast, quiet, crisp, clean, no caffeine."
89,Kristina Szczech,2021,5,Of course the price was double. But it was my husbands birthday.
90,Alexandre Schutze,2021,5,"I've been playing videogames since Atari, had my Nintendo, Megadrive, SuperNintendo and finally PS1/3/4 Vita and Switch. As soon as I got my hands on my PS5, it just felt that this one would be the best ever.This is a fantastic machine. Navigation feels intuitive, games look sharp and run great. Besides that, DualSense is the most ergonomic controller ever.So far, finished Demon's Souls (beautiful remake) and playing Miles Morales and Guardians of the Galaxy. Playing feels immersive.Also, having access to all my PS4 games is awesome, just sold my old console - this is something I couldn't do when transitioning from PS3 to PS4.The only setbacks are actually getting the console - I admit I was lucky - and the size of it. It's huge, for me it was a burden to carry through airports..."
91,Christopher Patterson,2021,1,"Sony PlayStation, thanks for making sure I never become a PlayStation owner again, or any other game console at that. During the timeframe of limbo where I felt discomfort buying more PS4 games, yet knew the PS5 would soon be within consumer grasp… boy was I wrong."
92,Bryan,2021,5,Lucky to have gotten it
93,Bronson McBride,2021,5,"Once you can finally get your hands on one, you’ll see and enjoy this a whole lot. That controller is the best update I’ve seen in a while. Worth the effort to get it."
94,sdsydnee,2021,3,"Do not but extra controllers from anywhere that won’t give you a full year warranty. My controller began having problems after about a month but didn’t become unusable until about 100 days, a couple weeks after the free 90-day warranty expired."
95,Kateryna,2021,3,"For this money I received a damaged box and was nervous about it, because I bought it for a gift"
96,Average Joe the consumer,2021,5,Purchased as a gift for family member. Over the moon with this.
97,PublicName,2021,1,"This console is deserving of 5 stars but the controller units seem to be so poorly built. The X button has completely stopped working even though every other button functions fully, even after resetting the controller. I never experienced a single issue with a PS4 remote but a ps5 remote within one year."
98,youtee,2021,4,Heck yea!! Awesome system. Controller feedback amazing. 4K ultra blu ray the best.
99,jake,2021,4,Very good console would recommend to anyone looking for a next-gen gaming system. Worth every penny!
100, VaL Cabrera,2021,5,Super happy
101,Javier Antonio,2021,1,No matter what store/online have them there will be nothing only Xbox Series S better buying one of those.eBay have +4000 people selling for $800 to $15000 why?? These people money that badly some having 5 consoles?
102,Allison,2021,5,It has 4K resolution
103,Tobey Cline,2021,5,Can’t go wrong. Now can we??
104,Hasbulla,2021,4,PlayStation has not failed to exceed expectations each new console release. The quickness of this console is crazy. Fast loading speeds. Way quicker than the ps4. Love the layout. Love the look. Just wished they would have more stock. If I did successfully place an order sometimes it would get cancelled and for an invalid reason.
105,Slug Jones,2021,5,"Managed to snag this beast off Amazon randomly during one of the few times they’ve had them. No clue how other than refreshing a lot. I feel bad for those of you who’ve yet to grab one, but while it’s a great console, it’s not *that* amazing. Needs more ps5 exclusive games before I’d worry too much. I still play my PS4 in the bedroom when the boy takes over the living room tv and have a blast. So, don’t let the urge to get your hands on one overwhelm you. You’ll get yours!I do love the console, though. I use it and my series x (again, got super lucky again, but on wally morts website that time) about the same amount.The ps5 is indistinguishable verses the series X in terms of power that I’ve seen. They’re both powerful consoles and outshine my aging 1070ti pc by a ton (that’s been the hardest to upgrade for me).The UI is a fresh look and functional enough. I like the store is just there to select when you feel and it doesn’t have to “load” the store like on ps4 and ps3. I like that it has a pull up *task* bar, for lack of better words, that you can quickly pull up and make on the fly adjustments to the sound control, accounts, etc.The best upgrade are the new controllers, imo. Haptic feedback is a neat feature, though honestly not a deal breaker if games don’t utilize it. It’s cool to feel different guns in games have different trigger feel/pull. My favorite part is the size and shape redesign. Fits my semi larger hands much better, but my 11 year old has no issues, either. It just feels better, if you know what I mean. The one downside I’ve found here is battery life. Absolutely a downgrade verses the PS4 controllers.The ssd is fast and does a good job. The only downside, and it’s kinda big, is the super specific drive you have to buy if you want to upgrade the internal drive. They’re crazy expensive, much like the series X, but more so. Who knows how long we have to wait to see larger than 1TB affordable drives that will work.The console itself is a chonker, so make sure you have the space for ventilation. Not a huge fan of the design, but you can see the design and make your own decision.Good luck on your hunt and keep trying. If you refuse to pay scalpers, as I did, get on Twitter and follow a few of the accounts that alert you to upcoming ps5 stock. That’s how I heard about the Amazon stock when I got this one.Also, screw scalpers. That is all."
106,liwu,2021,5,play game
107,Damian Rodríguez,2021,5,Amazing graphics and gameplay. Love the new setup
108,Edgar R.,2021,5,La consola funciona correctamente.
109,David padilla,2021,5,Great console! Everyone wants one this days!
110,Nolan ,2021,5,The PS4 took ages to load when I’m waiting for a game to download so I can play it but now I can wait less than 4 hours to play and be ready to go the PS4 you have to wait like a day or two for it to finish downloading. Highly recommend it can’t wait for what Sony has for us in the future!!! 10/10
111,Meredith,2021,5,Get your husband one of these and stop faking your nightly headaches!
112,chris951,2021,5,"I was lucky enough to get an invite thru Sony direct in September. The system is great, graphics are awesome and the controller feedback is cool. Not very many games out yet (at least that I'm digging) so don't over pay. Try what I did, get on chat at Sony and talk to rep, make sure that you are able to receive invites. When they send you the survey email express your frustration in comments section at end, but give the rep a good review because it is not their fault and they are trying to help. I did and got a invite 2 days later lol. Be polite people. Good luck and stay off stockx."
113,Steven Rampello,2021,5,Initially I was terrified to buy this because I had read one bad review online and the fact Sony still hasn’t made this readily available is infuriating however my old ps4 was on death’s door and I knew I needed a new one. I have had mine about a month and I use it quite a bit throughout the day. I have had no issues at all so far and have very much enjoyed the product!! Sucks you have to pay like 40% more but that’s Sony’s fault ultimately.The one little issue that didn’t bother me but might bother some of you was the packaging had a tiny tear on the outside upon arrival. When you basically pay 1k for something I could assume you’d expect perfection. But it came fast and I got what I wanted so I am happy!!
114,Jorge Acosta,2021,5,Box came in good condition and has been working for 3 months no issues good gaming console
115,Ronald E Hager,2021,4,The PlayStation 5 Console is great but the controller for the console there was something wrong with I had to buy a other one so my son could play his games on it.
116,Noel davis,2021,5,With all the stealing going on right now happy it made it to my house.
117,lisandro,2021,5,Switching in and out of games is now faster and it’s great to see games running at a smooth 60fps or 120fps if you have at with hdmi 2.1. Great overall product and well worth the upgrade from the PS4
118,Corey Dutter,2021,5,"The controller is the best part about this and beats Xbox out of the water. The Xbox controller still takes batteries, give me a break. Games look great, interface is much improved. 10/10 would recommend."
119,Mamirali,2021,5,Love everything about it .
120,Zapz,2021,4,Finally got the best console 2021
121,Arelis,2021,5,Really happy with the purchase is definitely as described
122,Leo Kotov,2021,5,Awesome gaming system!!! 5 stars
123,Edmond Klein,2021,5,Upgrading PS4 to PS5
124,Thomas Tigertail,2021,5,I really enjoyed this. Glad it wasn’t a scam.
125,Chairna Arnold ,2021,5,My son lives it!
126,TED the VIKING,2021,5,Item was boxed inside a box which was AWESOME & it arrived within 48Hrs of ordering!!
127,Brendan,2021,5,"Got this for my little brother (15) after 7 months of waiting. Refused to pay scalper prices, and patience ended up winning. Got this for MSRP and now him and I both have one and have been playing almost every day together. Very happy with this purchase.Pro tip: those “add to cart links” are the way to go ;)"
128,Simon,2021,3,"Yes, it’s just impossible to buy a PS5, but also any nVidia RTX cards because of the GPU shortage and the scalpers looking to make a quick buck. Actually I’ve seen manufacturers adding a fan or two and selling the same card with 70% more profit! This uncharted territory can only be solved by Sony and other manufacturers releasing new products every other year. People judge Apple for incremental updates, but that model has worked very well. It would be less likely to see any shortage one year into the release if another one is coming, because it would be less entertaining for scalpers to invest their money on items that are going to be obsolete soon. Just food for thought for the future."
129,HolyMoly,2021,5,Expectations met
130,Desiree stanley ,2021,1,"Paid over 1,000$ for a scam a machine that doesn’t work…"
131,Tracy,2021,5,Got my order on the date that it said and wild and has worked great.
132,John Sullenberger,2021,5,
133,Robert,2021,5,The console is amazing and I’m still amazed by the load times and what really still stands out to me is how well designed the controller is and how reactive it is. The changes that they made really makes playing the same games feel so different!
134,C. Kidd,2021,5,Husband loves it. Has best graphics and speed ever
135,benjamin johnston,2021,5,Was lucky to get it and love the hell out of it
136,Jay,2021,1,Can’t play any game for longer than 2 minutes without it crashing. Literally no game will play. DO NOT BUY.
137,Bryant,2021,4,"Arrived well packaged and put-together. Distributors are spiking the selling price to combat scalping, which had me worried about the integrity of the product.Luckily my worries were unfounded. Package arrived as advertised and has run smoothly ever since.4.5/5"
138,CJ,2021,5,I upgraded from a PS3 to the PS5 and wow what a difference. It’s an excellent console that is fast and fun with many of app options.  I also have an Xbox One and the PS5 is a fantastic upgrade from that console.
139,Tim m.,2021,1,"Long time ps fan, but this one is so messed up.  You don't have enough stock then hold the release date until u do.  I see so many people getting ripped off n it's sonys fault.  I just bought a pc, so buy Sony you lost a fan."
140,Juan,2021,5,Immensely invaluable quality! Fast delivery. Exceptional packaging. Seller is fab and distinguished.
141,James Tagliavia,2021,5,Fast shipping arrived earlier than was projected. Love the graphics and load time. My favorite is being able to switch between my games and my HBOmax or Netflix which comes in handy using wireless headphones while the family is asleep.
142,Jason Wong,2021,4,"PS5 is overhyped and it runs super hot. Console device was larger than i expect, but overall performance is amazing so 4 stars."
143,luis castro,2021,5,Never thought I’d be able to get one but I finally did somehow. So glad I did. Love this thing and so does my girlfriend. Great console and can’t wait to see what Sony does next
144,Julius,2021,5,Buy it or shut tf up
145,J. Conrad,2021,5,"The PlayStation 5 is excellent. Glad I finally got the opportunity to get one. I’m not a fan boy, I prefer to own all of the current systems. But this one is the Capstone!"
146,Purchaser,2021,5,I followed a live stream on twitch to get this ps5 once amazon stocked it. Love it! Great buy and upgrade.
147,Christine,2021,5,"I am extremely happy with my PS5. Yes, I did pay a bit more for it than the original price, but to me it was well worth it. It came within a week or ordering it and it was in new, perfect condition. Easy to set up and it works flawlessly. I worked with Customer Service for a small shipping concern, but they were super friendly and helped me out immediately. Extremely satisfied with this purchase."
148,Dr. Fishopolis,2021,5,"If you can get your hands on this, it is 100% worth the price.The controller is awesome and it always surprises me how each dualshock generation blows away the last gen. The haptic feedback on the triggers is worth the hype, I just hope they will release more games that utilize this tech in the future.But really, backwards compatibility is why I bought this. I typically only buy a console after it's been out a few years because of the small game selection at launch and I'm not willing to pay $70 for a new game. Those criticisms are out the window this gen because my entire ps4 library is now my ps5 library. Even better, some games have had free ps5 upgrades (No Man's Sky) that really boost the graphics and add haptic feedback support. And games without a ps5 upgrade will generally run at a solid 60fps and have lightning fast load times.Do what I did, buy this and sell your old ps4 to help pay for it. I sold my ps4 pro for $300, so this console upgrade only really cost me $200. For 200 bucks, this is a no brainer (if, and this is a big IF, you can find it at MSRP)."
149,David P.,2021,5,Great graphics. Fast game play
150,Lee Roy Brown,2021,5,If you can get one at Msrp totally buy a ps5. It’s a crazy good value. I would not pay more than msrp for one.
151,TF,2021,1,"I bought the product for my sons birthday. He used it literally 2 times. I contacted the seller and they said that 30 days had passed already on this over priced used item. We had this thing 38 days guys.  This was the most expensive 2 time use of a product that I have ever seen. It’s not like the product had the $499.00 price tag it had when it first came out. They charged over over $ 1000.00 for this PlayStation 5 and they couldn’t even make it right. I could see if a couple of months had gone by and I asked for help after that long but it was 38 days. They swear it was brand new but it wasn’t. They wouldn’t even offer an exchange or anything. We finally got one from a legitimate retailer and believe me it’s still working right and we are so happy and excited. We even tried to get it fixed and the place we took it to said the  motor was burnt out and that the problem was  definitely internal. They said this shouldn’t have happened if it was brand new like this seller said. Please keep your money. Don’t buy from this seller. If they even tried to offer a refund or exchange I would’ve acknowledged that they at least tried to help us out. The holidays are coming and some of these sellers will be trying to push off old refurbished products  and old used items. It’s up to us to call them out on it especially if they claim what they are selling is brand new. It’s up to us to let others know in an in depth review about things that aren’t right! DON’T FALL FOR IT! Go to the more legitimate retailers. In this case I didn’t even pay for the new one what I paid for this one. I told the new retailer I went to what happened and they actually gave me a discount. The one we got was a real legitimate brand new Play Station 5 with a warranty of 2 years yes 2 years is what they gave me, they also knocked some off of the price they were selling it for in the store. So in some ways we still came out on top but I wanted to let somebody know who might stumble across this seller and think you might be getting a legitimate deal. YOU’RE NOT! Some sellers just take more pride in making their customers happy this one DID’NT. I have never even heard of this seller but I tried to give them the benefit of the doubt . I am not writing this review to be bitter. I’m writing it because it’s the Truth!  They didn’t hesitate to brush me off. I wanted anyone who was thinking about buying from them to think long and hard about it. We even tried to call Sony because this seller said well  call the manufacturer that’s basically all we can tell you to do. We tried Sony and they said well you can ship it to us but it will probably be after the holidays  or maybe longer into the next year before we can even look at it. Please don’t try and delete my review. People need to know about these products you guys are trying to push off on unsuspecting buyers!"
152,WayneW89,2021,5,I've been waiting on this for a long time and after playing the past 3 months it been smooth. The haptic feedback make playing certain games more enjoyable and if your into graphics and the sort. With the right TV settings you can't go wrong with games with great graphics. Only down side is the base storage to me. And being a little more portable being that I travel alot.
153,Kindle Customer,2021,4,"It claimed to come with the console stand. It didn't. Fast shipping, happy with my order so 1 star deducted."
154,Robert,2021,5,Bought is a birthday gift and person was super happy
155,Tom Racey,2021,4,Everything was great except the controller. Left stick pulled to the left sometimes and would stick making the camera in the games spin
156,Isiah D. Martin Jr,2021,5,Like it because my/our grandson requested this item specifically for Xmas.
