,User,Review Date,Ratings,Review
10,fred alvin waitkuweit,2022,5,"When I first open the box presentation was spot on beautiful definitely keeping the box 🥹 best gift I could get myself this year!!!!!!If you worked hard this year and not able to get yourself a PS5 and play a lot of sports games like me then this console is a must get!!!! Xbox has a great library of exclusive halo, gears of war, knights of the old republic just to name a few titles 😏 either way for me this was perfect!!!!!! Merry  Christmas to all !!!!!"
11,Amazon Customer,2022,5,"Got the invite maybe within a week. Had to buy it and it came fast! All you scalpers are losing! It’s a must have for anyone with the xbox one, upgrade!"
12,Angel Lara,2022,5,"Lo mejor que me he comprado en la vida, puedo jugar a 4k 60 fps sin problemas, el gamepass está brutal, 1000% recomendado."
13,Walter Howard,2023,5,"Great delivery, great item."
14,Brenda Moore,2023,5,Received in perfect condition on delivery date promised.
15,Jason,2023,5,I like everything and dislike nothing.
16,Andrew Markland,2023,5,EXECELLENT PRODUCT AS DESCRIBED
17,TJ52,2022,5,"It’s dope, new controller is dope, but not rechargeable so that’s an L"
18,Michael,2022,5,Very easy to setup. We live all the features and easy Internet access
19,Amery Gallegos,2022,5,"Been working since June, no complications what so ever. If ur worried about purchasing from Amazon due to refurbished game consoles, I highly recommend purchasing here. I have no regrets :)"
20,Thomas MacDonald,2022,5,Finally got the invitation for new xbox series x. Load times are so much  better and zero video lag I can see.
21,Mihalis in Kansas,2022,4,"The Xbox Series X is phenomenal. The display is beautiful and it has a terabyte of storage. That being said, know that if you plan to use this for VR purposes, it is NOT capable of doing so. The PS5 is definitely able to handle VR, and renders an on par quality as the XBox Series X. To be honest, the PS5 operates much quieter as well with the fan being almost indiscernible while playing games or streaming. If you are looking for a machine that will handle VR, (Virtual Reality), the Xbox Series X is not an option. I sent mine back in favor of a PS5."
22,Colleen Quirk,2022,5,"Ordered Monday, received Wednesday morning.  Was exactly as advertised and works perfectly."
23,Anonymous MB,2022,5,Xbox came as described - description said 2 controllers from seller. Gave extra game. Some small scratches. Otherwise perfect.
24,Austin Red,2022,5,"I had doubts about getting the upgraded console, but I see that doubt was misplaced. The console is amazing! No issues with disconnecting, no frame drop, amazing graphics! I'm glad I upgraded!"
25,Scott M,2022,5,"I haven't found anything bad to say about this XBOX yet. And I can't put my controller down...maybe that's the bad thing!Graphics are unreal, load times are really fast...I love it!"
26,Reid Frederiksen,2022,5,"Came Brand new, perfect condition."
27,Joe,2022,5,"Glad Amazon implemented an invite program for purchasing. I was waiting to buy the Series X when the prices came down to at least MSRP. Backwards Compatible gaming is great. Most will play, but check the list to confirm."
28,Briar Cockrell,2023,3,"Below is my angry rant about wanting to play games I already have. Overall, I'm very happy with the Xbox I received. It's got amazing graphics and some awesome processing powers. I'm still frustrated that I can't use it with the games I wanted to play, but that's something I'll have to live with. I like playing on this console, but if there could be a way to link my accounts and transfer games over, that'd be appreciated.(Previous review) I'm livid. Literally bought my first TV for my apartment, 4K, and this new Xbox Series X so that I could play my favorite games on a couch in my living room. This is my first console, first TV, etc. I already own several games that I've paid for. Guess what, YOU CAN'T INSTALL THEM EVEN AFTER LINKING ACCOUNTS. That should be enough to tell your systems that I OWN THOSE GAMES ALREADY. But no, you'd rather I still pay $70 each because of capitalism.The majority of the games I wanted to play aren't included with the Game Pass either, so I don't suggest that. If you wanted to play your games across multiple platforms, this is NOT FOR YOU."
29,*~AJ~*,2022,5,All good. Competitive price. Nice they prevent people from hoarding and reselling at stupid markups.
30,Juan morles,2022,5,"Está excelente, me gusta su diseño y desempeño. Los juego se ven 10/10"
31,David Smerza,2022,5,Just wish I did not have to buy a fan to help with cooling.
32,Simon,2022,5,Product came with clean packaging. New!
33,Rolando Bravo,2022,5,Gracias por la invitación
34,Amazon Customer,2022,4,"I just got the Xbox Series X. I gave it 4 stars because I really liked my xbox one kinect. It came with voice command and of course the camera you could use to interact with games. I didn't grow up playing video games, I got hooked in my early 20s. I am an old lady of 61 so I've played on a lot of platforms/systems. So the new games are moving on and to keep up I have to buy the newer game systems. And I have to say on this xbox series x I LOVE THE PICTURE/GRAPHICS QUALITY, LOVE THE MEMORY/STORAGE SPACE. It deserves 5 stars but change is hard and money's tight."
35,Amazon Customer,2022,5,I got an invitation to buy the new console.  I was going to buy a 4K blue ray player anyway so I decided to get myself an early Christmas present and bought this console.  This is the first gaming console I've ever bought so now I'll need to buy a game like Halo since I own no games. Guess It will play movies as well. Will be hooking it up tomorrow so will update review as I get to learn more about being a first time console owner.
36,jeremy,2022,5,Good Product
37,Vishrut S.,2022,5,"For me the jump to next level performance was higher than most because my last xbox before this one was the original stock xbox one (2013) model-halo edition. So when I bought the Series X, I could not believe it took less than 5 seconds for me to load up new saves or screens on my favorite game (skyrim); before it took several minutes. The description of a ""console that swallowed a lambo"" is perfect for this beast of a machine.Pros:1.) Extremely fast2.) Xbox Game Pass is a great service when paired with this3.) The disc option is ideal since it allows me to play old xbox one and 360 games.4.) Higher stock storage capacity than the PS55.) Design/Looks of the console may be simplistic but it fits well in any home-entertainment setup.Cons:1.) Lack of exclusives- Microsoft buying Bethesda and Activision-Blizzard makes up for the lack of notable third-party exclusives since launch in 2020; hopefully this will be fixed soon with the launch of Starfield, Elder Scrolls 6, and other notable upcoming titles.2.) The controller is only slightly updated in relation to the Xbox One controller (compared to the advances made by the PS5 controller)."
38,Lucho S,2022,4,"Amazing buy, couldn’t resist! A bit overpriced. Only wish it was a little smaller in size. Great game selection. Not bad for its value!"
39,Hector R.,2022,4,"Happy i finally got invited to purchase my Xboxs, only downfall is they don't offer insurance/warranty like you would if purchased at a store."
40,Nick Hammond,2022,5,Best console out there!
41,Justin Gibson,2022,4,It works great most of the time and is a huge upgrade from the original Xbox one but sometimes you can’t access Microsoft store and games have refused to finish downloading even months after getting it. Definitely has room for improvement in the future.
42,Kassi Tews,2022,5,"I was a littler nervous to purchase this and have it delivered (was worried someone was steal it from my porch) but it was great! Got it within 2 days and  it's in excellent condition. No damage from being delivered, definitely recommend being added to the invite list."
43,JasPlun,2022,5,"I now own both the Series X and the PS5 so I will simply say this about the Series X. It is very well built and the design has silent fans and the console heat is channeled through the top making it efficient. What I like is it is not as big as the PS5. The controller feels great. Software design is really good and the system is fast! Smart delivery makes sure you have the best version of game automatically and Gamepass is awesome. What I do not like about it is that it basically feels like the Xbox One X on steroids. The UI is basically the same so it does not have that brand new console feel to it you get with new stuff. All the games have run phenominal. If I had to choose only one console I would pick this Series X over my PS5. The PS5 is HUGE and really ugly in person. Sticks out like a sore thumb, but it performs as well as the series x and better on some games I have noticed. The new controller with the PS5 is really good and with the new UI it really feels like a new console. Both systems are great and well worth the purchase. My advice do not be a fanboy whichever console you find 1st get it you will be happy with it:P Or you can buy both like me if your lucky enough to find them both:P"
44,Theboss1,2022,5,"Huge improvement over my one x I actually ended up selling it. This console was very easy to setup out of the box in comparison to the PS5 ( own both). Both consoles are great, I prefer the Xbox controller and like the new design and triggers PS5 controller is just a bit too heavy and I don't prefer the microphone on the controller built in. Xbox is my preferred console, however the PS5 offers a huge amount of free games since I've owned it and they are all very expensive games to buy for the Xbox (grateful I don't need to) Xbox makes up for this with there ""game pass"" but in my opinion the games are not good at all in comparison to what Playstation actually gives you not lets you ""rent"" also the low fee will increase so the people that have game pass will regret it in the long run. Overall happy with the purchase, love the new Halo I only play multi-player and it's actually free wow! I would get xbox live gold card on Amazon its $55 for a year best value, I would skip the game pass that is my opinion especially since I have PS5 free games a huge amount in the two years of ownership. I honestly would buy both consoles if you can afford it with both memberships ( PSN, Xbox Live). Both consoles are backwards compatible and you keep your games how awesome !"
45,Tony Moreno,2022,5,So much faster ! I would have liked to see more package protection.  My friend bought one and it was destroyed before he was even able to open it . I'm luck it was not the case for me .
46,Scott Das Dichter,2022,4,"The console works quite well, but it does not state that you must install games on the internal storage in order to play the Series X compatible games. If installed on an external hard drive or the new storage devices only for Series X, they are specifically for storage only.  In order to play an installed game, you must move it into the internal hard drive. Another thing is you must give the console physical space, otherwise, it will overheat quite easily."
47,Skylark,2022,5,"Oh. My. Gosh! This Xbox is faster than I expected it to be, being slightly more inclined to PC gaming for the speed the SSD has over my Xbox One X. This blows my PC rig away.So far my favorite thing is that I can host my hubby from his computer on to my game on my new Xbox Series X, and he gets to experience the same load times I do. The first game I turned on was Minecraft Dungeons to play with my kids, and my loading time went from around a minute per load to a count of six TOPS.I was thrilled to see my TV recommend 4K UHD as a display setting, and have been blown away by the quality of the graphics. The controller is comfortable, and noticeably more responsive than my custom Xbox One controller, and my One controllers all easily paired with the Xbox X so I could couch coop with my family without shelling out hundreds on new controllers.It was definitely worth the money spent if you love a seamless gaming experience. I used to launch a game and then go make a cup of coffee, now I launch a game and nearly instantly play it. I'm excited to try my entire arsenal of games on this rig!"
48,Rob Hardison,2022,5,"Let just say the fiasco that was the launch of Xbox series X and all the scalpers definitely left a lot of people soured on the idea of buying one, let alone at MSRP. Amazon tried their own version of the ps5 lottery with the Xbox series X and I was lucky enough to get selected TWICE! First time I missed out because I was on the road and lost track of time, however the second time within days of missing the first I was able to complete my purchase and was delivered exactly what I ordered from Amazon without fear of getting a box of rocks! Thank you Amazon for doing it right, even if it did take a couple years to actually do it right. Now to the series X, this replaced an Xbox one X that was in perfect condition but the series X just runs circles around it with far more processing power and the faster drive speed. Apps and games load much faster and although it lost the hdmi pass through and the ability to control audio devices like it did before (lack of IR Blaster and wonky CEC controls) it’s a trade off that I was willing to make for the improved performance in other areas."
49,nathan lee tice,2022,4,I am mainly p!$$Ed because they succeeded in bambozing me into buying the Xbox one x as if it was gonna be the series x only to come out with the series x so fast. I would of just waited. But that's on me. I love the series x though. The graphics are awesome and the game pass is the icing on the cake.
50,Stacey Terry,2022,5,Bought it for my son he loves it
51,kamal main,2022,5,He plays it all day
52,Jacob,2022,5,"I was already used to the interface but the Series X makes my old One S look like a joke! It is so fast when loading menus, games, basically everything! Gaming in 4K is good too! Forza Horizon 5 looks fantastic! I look forward to trying Halo Infinite! I'm well satisfied with the performance. The console is smaller than expected. It was easy to hook up and get started. I will buy an expansion card eventually. 1TB storage is kinda weak but they gotta keep costs down I guess... Still love that expansion option! I love the controller. Sticking with the tried and true but added a screenshot button. Which I will use! So pretty cool!Overall I'm very impressed and glad I upgraded. It was pretty easy to get too. Minimal waiting on the invite.I do recommend and I would def buy again! 👍"
53,Jacob Stein,2022,5,This was my dream console
54,Victor Lopez,2022,5,"Before purchasing this Xbox, I was rocking with an old Xbox One S that I had owned for a couple of years and boy do I regret holding off from buying the series X for so long!The graphics and processing power is a night and day difference compared to my old Xbox One S. My only regret is not purchasing this a lot sooner than I did."
55,Kim N.,2022,5,"This product was well packaged and sealed with tape that stated, “Do Not Accept If This Seal Is Broken.” And, of course, it wasn’t. I read the seller reviews and was really impressed with this one. It arrived early and was delivered with care! Thank you!!"
56,Amazon Customer,2022,5,"I got an Xbox Series S earlier and I was already very happy with it, however, I had the chance to get a series X later and I will say, the extra storage alone and disc drive makes it worth it, not even talking about the 4k visuals. Add in gamepass and you have a hell of a deal on an amazing console"
57,Ryan ,2022,5,"I got this as a present for my dad and he absolutely loved it. It worked great, despite being used and all of his downloaded games on his Xbox One transferred very well."
58,Joseph Mino,2022,5,I was so excited to get a invitation to buy the Xbox x. I was a little nervous because of all the scams going on but it was fulfilled by Microsoft. The system is amazing. Way better than PS5 just saying!
59,Ariana,2022,5,Worth the money 10/10
60,M. Stegeman,2022,5,"I've been a Playstation person from the release of the original, and I even dabbled into the first 2 Xboxes. I gave up on the Xbox after burning through 3 360's due to the red ring of death.But, I wanted the Series X to balance out my TV stand! And I have poor impulse control!So far, I've been rather enamored with this big bulky black box (alliteration win). The game pass is something that is definitely worth while. I'm not going to lie, I have not bought a single game yet, and have just downloaded a bunch of games with Gamepass.The only thing that I really dislike about this device is the UI, and the fact that the Blu-ray software is not pre-installed.Now, with my PS4, PS5, and Xbox Series X all connected to my TV, I can load three different Blu-rays which is great if I am watching a series on Blu-ray (For example, my copy of Steins Gate that showed up a few days back)Great device so far."
61,Tyler vitmus,2022,4,Not much to say waited 10 days for an email then it arrived promptly in one piece
62,Justin Pham,2022,5,Got the invitation about a couple days later and managed to get it delivered in two days. Everything came out good out of the box and no defects were found like other reviews mentioned.
63,Ramon_c22,2022,5,"No es de extrañar que la XBOX SERIES X sea la consola más potente del mundo, pero esto lo compruebas al jugarlo, Xbox realmente ha diseñado una consola capaz de jugar varios juegos al mismo tiempo y en un buen tv se nota la fluidez y la resolución en los juegos.Una de las mejores compras que he realizado en amazon"
64,Marlon A. Diaz,2022,5,"Un producto de excelente calidad, había costado conseguir una, gracias a Amazon por la invitación na comprarla."
